text,label,description,cleaned_text,filtered_text,lemmatized_text
i feel suspicious when i see this redundant use of the credential,4,fear,i feel suspicious when i see this redundant use of the credential,feel suspicious see redundant use credential,feel suspicious see redundant use credential
i feel like the town loner with all of the things i ll need that day in a suspicious bag,4,fear,i feel like the town loner with all of the things i ll need that day in a suspicious bag,feel like town loner things need day suspicious bag,feel like town loner thing need day suspicious bag
im not feeling too hot this week so it has been a minor struggle but im pushing through and trying to smile my way through it,2,love,im not feeling too hot this week so it has been a minor struggle but im pushing through and trying to smile my way through it,im feeling hot week minor struggle im pushing trying smile way,im feeling hot week minor struggle im pushing try smile way
im not going to lie sometimes hearing myself say some of the things on my recordings makes me feel weird and insecure but just like the quote states above its a good thing,4,fear,im not going to lie sometimes hearing myself say some of the things on my recordings makes me feel weird and insecure but just like the quote states above its a good thing,im going lie sometimes hearing say things recordings makes feel weird insecure like quote states good thing,im going lie sometimes hearing say thing recording make feel weird insecure like quote state good thing
i feel sympathetic with mr,2,love,i feel sympathetic with mr,feel sympathetic mr,feel sympathetic mr
i am a passionate obama supporter but as a woman i feel twinges of guilt at times about the fact that i am not supporting the first woman with a real shot at the presidency,2,love,i am a passionate obama supporter but as a woman i feel twinges of guilt at times about the fact that i am not supporting the first woman with a real shot at the presidency,passionate obama supporter woman feel twinges guilt times fact supporting first woman real shot presidency,passionate obama supporter woman feel twinge guilt time fact supporting first woman real shot presidency
i can feel them falling in love which is quite lovely,2,love,i can feel them falling in love which is quite lovely,feel falling love quite lovely,feel fall love quite lovely
i feel pressured to come up with something else funny to write about,4,fear,i feel pressured to come up with something else funny to write about,feel pressured come something else funny write,feel pressure come something else funny write
i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,3,anger,i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,want irreplaceable find person makes feel way think id rather stay single im number whats point refuse something settle maybe im stubborn feel idrc,want irreplaceable find person make feel way think id rather stay single im number whats point refuse something settle maybe im stubborn feel idrc
i feel strongly it could be helping people and doing what i am unsure of but it isn t within the us,4,fear,i feel strongly it could be helping people and doing what i am unsure of but it isn t within the us,feel strongly could helping people unsure within us,feel strongly could helping people unsure within u
i wish i didnt feel this afraid to talk to new people,4,fear,i wish i didnt feel this afraid to talk to new people,wish didnt feel afraid talk new people,wish didnt feel afraid talk new people
ive been feeling very indecisive lately,4,fear,ive been feeling very indecisive lately,ive feeling indecisive lately,ive feeling indecisive lately
i didn t ride on sunday and was still feeling a little apprehensive on monday so decided to a title lunge href http en,4,fear,i didn t ride on sunday and was still feeling a little apprehensive on monday so decided to a title lunge en,ride sunday still feeling little apprehensive monday decided title lunge en,ride sunday still feeling little apprehensive monday decide title lunge en
i am just so sick of feeling hated and lonely and dumb and unloved and forgotten,3,anger,i am just so sick of feeling hated and lonely and dumb and unloved and forgotten,sick feeling hated lonely dumb unloved forgotten,sick feeling hat lonely dumb unloved forget
i am floating in the flashback feeling the heaviness of nostalgic heart,2,love,i am floating in the flashback feeling the heaviness of nostalgic heart,floating flashback feeling heaviness nostalgic heart,floating flashback feeling heaviness nostalgic heart
i confess that i was feeling nervous as i made my way to the event venue,4,fear,i confess that i was feeling nervous as i made my way to the event venue,confess feeling nervous made way event venue,confess feeling nervous make way event venue
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,3,anger,i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,feel market somewhat dangerous position traders end wrong side right,feel market somewhat dangerous position trader end wrong side right
i feel they travel back to all their fond memories inside the flashback of their thoughts where they view their once achieved wonderland,2,love,i feel they travel back to all their fond memories inside the flashback of their thoughts where they view their once achieved wonderland,feel travel back fond memories inside flashback thoughts view achieved wonderland,feel travel back fond memory inside flashback thought view achieve wonderland
i left feeling annoyed and angry thinking that i was the center of some stupid joke,3,anger,i left feeling annoyed and angry thinking that i was the center of some stupid joke,left feeling annoyed angry thinking center stupid joke,left feeling annoy angry thinking center stupid joke
i begins to feel herself grow too fond of him and asks him to leave her alone for good,2,love,i begins to feel herself grow too fond of him and asks him to leave her alone for good,begins feel grow fond asks leave alone good,begin feel grow fond ask leave alone good
i feel that charlie was being very generous in sharing writing credit with me as he clearly could have done the music without me,2,love,i feel that charlie was being very generous in sharing writing credit with me as he clearly could have done the music without me,feel charlie generous sharing writing credit clearly could done music without,feel charlie generous sharing writing credit clearly could do music without
i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,4,fear,i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,slow bit stay partly feeling like start win give partly afraid push kill trying stay,slow bit stay partly feeling like start win give partly afraid push kill try stay
i may give up much sooner than my days if i feel like im gonna die but ive been curious for a while,5,surprise,i may give up much sooner than my days if i feel like im gonna die but ive been curious for a while,may give much sooner days feel like im gonna die ive curious,may give much sooner day feel like im gonna die ive curious
i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something,4,fear,i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something,lie bed legs constant motion feel control shaken tapped something,lie bed leg constant motion feel control shake tap something
i feel as though my own snowglobe is being shaken and im still flying through the air,4,fear,i feel as though my own snowglobe is being shaken and im still flying through the air,feel though snowglobe shaken im still flying air,feel though snowglobe shake im still flying air
i mustered up energy to feel christmassy i remember feeling kind of pissed off at the bad timing of everything,3,anger,i mustered up energy to feel christmassy i remember feeling kind of pissed off at the bad timing of everything,mustered energy feel christmassy remember feeling kind pissed bad timing everything,muster energy feel christmassy remember feeling kind piss bad timing everything
im years old and i must admit that it has made me feel uncomfortable,4,fear,im years old and i must admit that it has made me feel uncomfortable,im years old must admit made feel uncomfortable,im year old must admit make feel uncomfortable
im feeling a bit neurotic that ill lose my job,4,fear,im feeling a bit neurotic that ill lose my job,im feeling bit neurotic ill lose job,im feeling bit neurotic ill lose job
i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,3,anger,i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,feel bit insulted nothing like women bloody hate incessant bitching general bloody nothing time,feel bit insult nothing like woman bloody hate incessant bitch general bloody nothing time
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,3,anger,i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,feeling angry feeling self conscious shorts wishing wasnt alone,feeling angry feeling self conscious short wishing wasnt alone
ive been feeling really spiteful lately so i think ill just sit here and listen to rammstein,3,anger,ive been feeling really spiteful lately so i think ill just sit here and listen to rammstein,ive feeling really spiteful lately think ill sit listen rammstein,ive feeling really spiteful lately think ill sit listen rammstein
i feel like a soda in a can shaken turbulently and flew violently out of its container the moment it felt air exchanging its freedom to you,4,fear,i feel like a soda in a can shaken turbulently and flew violently out of its container the moment it felt air exchanging its freedom to you,feel like soda shaken turbulently flew violently container moment felt air exchanging freedom,feel like soda shake turbulently fly violently container moment felt air exchange freedom
i feel very hostile at the thought of taking out my credit card,3,anger,i feel very hostile at the thought of taking out my credit card,feel hostile thought taking credit card,feel hostile thought taking credit card
i feel insecure and lack of confidence,4,fear,i feel insecure and lack of confidence,feel insecure lack confidence,feel insecure lack confidence
i still didnt start feeling contractions but it was a tender mercy for me because she would have come on the st no matter what,2,love,i still didnt start feeling contractions but it was a tender mercy for me because she would have come on the st no matter what,still didnt start feeling contractions tender mercy would come st matter,still didnt start feeling contraction tender mercy would come st matter
i feel bitter to see what i ve become,3,anger,i feel bitter to see what i ve become,feel bitter see become,feel bitter see become
i is thirteen again and so so unsure of himself and unsure of how he feels about shishido as his senpai although he s always admired him,2,love,i is thirteen again and so so unsure of himself and unsure of how he feels about shishido as his senpai although he s always admired him,thirteen unsure unsure feels shishido senpai although always admired,thirteen unsure unsure feel shishido senpai although always admire
i have been aware of one traumatic memory that has been surfacing on and off leaving me feeling nauseas and gently terrified always,4,fear,i have been aware of one traumatic memory that has been surfacing on and off leaving me feeling nauseas and gently terrified always,aware one traumatic memory surfacing leaving feeling nauseas gently terrified always,aware one traumatic memory surfacing leaving feeling nausea gently terrify always
ive been feeling disgusted and ashamed,3,anger,ive been feeling disgusted and ashamed,ive feeling disgusted ashamed,ive feeling disgust ashamed
i feel dont mention food and dont think ur being considerate by noticing my obsession with this and talking to me about,2,love,i feel dont mention food and dont think ur being considerate by noticing my obsession with this and talking to me about,feel dont mention food dont think ur considerate noticing obsession talking,feel dont mention food dont think ur considerate notice obsession talking
i am so happy because i finally feel like i m doing something that i am compassionate about,2,love,i am so happy because i finally feel like i m doing something that i am compassionate about,happy finally feel like something compassionate,happy finally feel like something compassionate
i could feel my moms presence and my friends and family were supporting me that day,2,love,i could feel my moms presence and my friends and family were supporting me that day,could feel moms presence friends family supporting day,could feel mom presence friend family supporting day
i just feel like i havent shaken it up lately,4,fear,i just feel like i havent shaken it up lately,feel like havent shaken lately,feel like havent shake lately
i feel like i ve been put in a bag and shaken up but otherwise ok,4,fear,i feel like i ve been put in a bag and shaken up but otherwise ok,feel like put bag shaken otherwise ok,feel like put bag shake otherwise ok
im feeling wimpy about this i know a one year old who has been sent to the old country for a year so the parents can work,4,fear,im feeling wimpy about this i know a one year old who has been sent to the old country for a year so the parents can work,im feeling wimpy know one year old sent old country year parents work,im feeling wimpy know one year old sent old country year parent work
i do awaken from a mild night sweat i usually feel hot as if i had a fever and i want to remove some of my blankets,2,love,i do awaken from a mild night sweat i usually feel hot as if i had a fever and i want to remove some of my blankets,awaken mild night sweat usually feel hot fever want remove blankets,awaken mild night sweat usually feel hot fever want remove blanket
i feel a bit naughty too for making it all public but then i remembered when i was made to feel like shit and had my confidence stripped,2,love,i feel a bit naughty too for making it all public but then i remembered when i was made to feel like shit and had my confidence stripped,feel bit naughty making public remembered made feel like shit confidence stripped,feel bit naughty making public remember make feel like shit confidence strip
i feel agitated annoyed and i see feel the darkness everywhere,4,fear,i feel agitated annoyed and i see feel the darkness everywhere,feel agitated annoyed see feel darkness everywhere,feel agitate annoy see feel darkness everywhere
i think unconsciously subconsciously i feel like a vile vile being,3,anger,i think unconsciously subconsciously i feel like a vile vile being,think unconsciously subconsciously feel like vile vile,think unconsciously subconsciously feel like vile vile
i will close my eyes and recite the following mantra every day and whenever i m feeling unsure frustrated or shiftless with my progress towards my top body,4,fear,i will close my eyes and recite the following mantra every day and whenever i m feeling unsure frustrated or shiftless with my progress towards my top body,close eyes recite following mantra every day whenever feeling unsure frustrated shiftless progress towards top body,close eye recite following mantra every day whenever feeling unsure frustrate shiftless progress towards top body
i feel accepted and respected i am loving loyal and generous,2,love,i feel accepted and respected i am loving loyal and generous,feel accepted respected loving loyal generous,feel accept respect love loyal generous
i have stopped feeling surprised,5,surprise,i have stopped feeling surprised,stopped feeling surprised,stop feeling surprise
i try to speak up stand up for myself or simply try to insert myself into a conversation i feel selfish like an attention whore,3,anger,i try to speak up stand up for myself or simply try to insert myself into a conversation i feel selfish like an attention whore,try speak stand simply try insert conversation feel selfish like attention whore,try speak stand simply try insert conversation feel selfish like attention whore
i sometimes feel all nostalgic and feel the need to go back and look at some of my old blog posts and all i can say is that without knowing it they record and hold so many memories,2,love,i sometimes feel all nostalgic and feel the need to go back and look at some of my old blog posts and all i can say is that without knowing it they record and hold so many memories,sometimes feel nostalgic feel need go back look old blog posts say without knowing record hold many memories,sometimes feel nostalgic feel need go back look old blog post say without knowing record hold many memory
i could walk at a slow pace browse each booth as long as i wanted and dart in and out of the shops on main street without feeling rushed,3,anger,i could walk at a slow pace browse each booth as long as i wanted and dart in and out of the shops on main street without feeling rushed,could walk slow pace browse booth long wanted dart shops main street without feeling rushed,could walk slow pace browse booth long want dart shop main street without feeling rush
i still feel the longing to be with you inspite of you sitting in front of me,2,love,i still feel the longing to be with you inspite of you sitting in front of me,still feel longing inspite sitting front,still feel longing inspite sitting front
i feel im a fairly generous person but i dont sell or give away the trudgers i make except as gifts to close friends and relatives,2,love,i feel im a fairly generous person but i dont sell or give away the trudgers i make except as gifts to close friends and relatives,feel im fairly generous person dont sell give away trudgers make except gifts close friends relatives,feel im fairly generous person dont sell give away trudger make except gift close friend relative
i feel jealous when i know he go out with other women,3,anger,i feel jealous when i know he go out with other women,feel jealous know go women,feel jealous know go woman
i do however feel a bit envious of people who have different perfumes for different seasons,3,anger,i do however feel a bit envious of people who have different perfumes for different seasons,however feel bit envious people different perfumes different seasons,however feel bit envious people different perfume different season
i ask to know things and then everything changes and then i feel a bit shaky as i try to keep up with my own leading edge and the huge amount of change i m invited to allow as i come into alignment with and catch up with me,4,fear,i ask to know things and then everything changes and then i feel a bit shaky as i try to keep up with my own leading edge and the huge amount of change i m invited to allow as i come into alignment with and catch up with me,ask know things everything changes feel bit shaky try keep leading edge huge amount change invited allow come alignment catch,ask know thing everything change feel bit shaky try keep leading edge huge amount change invite allow come alignment catch
i feeling suspicious i snooped computer,4,fear,i feeling suspicious i snooped computer,feeling suspicious snooped computer,feeling suspicious snoop computer
no response,3,anger,no response,response,response
i sat feeling helpless like a moment from an episode of the walking dead,4,fear,i sat feeling helpless like a moment from an episode of the walking dead,sat feeling helpless like moment episode walking dead,sat feeling helpless like moment episode walking dead
i dont know why i feel so frantic about this but i really want to have this particular song for my little girl to be,4,fear,i dont know why i feel so frantic about this but i really want to have this particular song for my little girl to be,dont know feel frantic really want particular song little girl,dont know feel frantic really want particular song little girl
i ended up eating lots of carbs on both days but i didn t feel as pressured to eat a bunch on the last day,4,fear,i ended up eating lots of carbs on both days but i didn t feel as pressured to eat a bunch on the last day,ended eating lots carbs days feel pressured eat bunch last day,end eating lot carbs day feel pressure eat bunch last day
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,3,anger,i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,feel ending bit rushed wonder might missed certain signs small thing story happens addictive dont notice time passing,feel ending bit rush wonder might miss certain sign small thing story happen addictive dont notice time passing
ill feel uncomfortable although i always heard people or friends around calling their loved one honey babe my angel darling peaches pickle gt,4,fear,ill feel uncomfortable although i always heard people or friends around calling their loved one honey babe my angel darling peaches pickle gt,ill feel uncomfortable although always heard people friends around calling loved one honey babe angel darling peaches pickle gt,ill feel uncomfortable although always hear people friend around calling love one honey babe angel darling peach pickle gt
i feel her all around me when i am in hollywood which by the way there is a lovely girl who does marilyn on the walk of fame really great,2,love,i feel her all around me when i am in hollywood which by the way there is a lovely girl who does marilyn on the walk of fame really great,feel around hollywood way lovely girl marilyn walk fame really great,feel around hollywood way lovely girl marilyn walk fame really great
i feel offended used and disgusted,3,anger,i feel offended used and disgusted,feel offended used disgusted,feel offend use disgust
i went to work but i feel stunned and numb,5,surprise,i went to work but i feel stunned and numb,went work feel stunned numb,go work feel stun numb
i was feeling a little shaky and called it a day on the small bike,4,fear,i was feeling a little shaky and called it a day on the small bike,feeling little shaky called day small bike,feeling little shaky call day small bike
i feel myself being sucked back in and this vicious cycle starts again every time you open the door and every time you show me more you back back any hints of love what is it that youre afraid of,3,anger,i feel myself being sucked back in and this vicious cycle starts again every time you open the door and every time you show me more you back back any hints of love what is it that youre afraid of,feel sucked back vicious cycle starts every time open door every time show back back hints love youre afraid,feel suck back vicious cycle start every time open door every time show back back hint love youre afraid
i want to be able to get into it without feeling weird in a bathing suit,4,fear,i want to be able to get into it without feeling weird in a bathing suit,want able get without feeling weird bathing suit,want able get without feeling weird bathing suit
i feel like i m in some weird limbo between childhood and adulthood,4,fear,i feel like i m in some weird limbo between childhood and adulthood,feel like weird limbo childhood adulthood,feel like weird limbo childhood adulthood
i have noticed my own increasing frustration with what i feel to be petty artificially created drama,3,anger,i have noticed my own increasing frustration with what i feel to be petty artificially created drama,noticed increasing frustration feel petty artificially created drama,notice increase frustration feel petty artificially create drama
i feel irritable like no other and running will def cure that,3,anger,i feel irritable like no other and running will def cure that,feel irritable like running def cure,feel irritable like running def cure
i dont drink green charged water for a few days i feel irritable and disoriented,3,anger,i dont drink green charged water for a few days i feel irritable and disoriented,dont drink green charged water days feel irritable disoriented,dont drink green charge water day feel irritable disorient
i feel strange pangs of loneliness or emptiness bubble up,5,surprise,i feel strange pangs of loneliness or emptiness bubble up,feel strange pangs loneliness emptiness bubble,feel strange pang loneliness emptiness bubble
i am so tired about it and i feel so fucked up,3,anger,i am so tired about it and i feel so fucked up,tired feel fucked,tire feel fuck
i also feel strange that by the ripe old age of twenty three i want a goddamn life partner,4,fear,i also feel strange that by the ripe old age of twenty three i want a goddamn life partner,also feel strange ripe old age twenty three want goddamn life partner,also feel strange ripe old age twenty three want goddamn life partner
i say his helpless the phone muttered the i love you love his feeling always feel very sweet always feel to have him with me i nothing a person undertaking no matter where there is a he,2,love,i say his helpless the phone muttered the i love you love his feeling always feel very sweet always feel to have him with me i nothing a person undertaking no matter where there is a he,say helpless phone muttered love love feeling always feel sweet always feel nothing person undertaking matter,say helpless phone mutter love love feeling always feel sweet always feel nothing person undertaking matter
i am feeling anxious that im not out watching this important game that im avoiding a bar because of an asshole who broke my heart and that im missing out meeting cute boys,4,fear,i am feeling anxious that im not out watching this important game that im avoiding a bar because of an asshole who broke my heart and that im missing out meeting cute boys,feeling anxious im watching important game im avoiding bar asshole broke heart im missing meeting cute boys,feeling anxious im watching important game im avoid bar asshole break heart im miss meeting cute boy
i feel really anxious,4,fear,i feel really anxious,feel really anxious,feel really anxious
i feel terribly unkind to say it span style font size,3,anger,i feel terribly unkind to say it span style font size,feel terribly unkind say span style font size,feel terribly unkind say span style font size
i feel resentful that i have too,3,anger,i feel resentful that i have too,feel resentful,feel resentful
i feel it s so obnoxious another vocab word,3,anger,i feel it s so obnoxious another vocab word,feel obnoxious another vocab word,feel obnoxious another vocab word
i looked at my husband and even though i love him with all the love in my heart the feelings i felt for him today when he was stood there so vulnerable grew so deep and strong and i didnt realise that i could love him anymore,4,fear,i looked at my husband and even though i love him with all the love in my heart the feelings i felt for him today when he was stood there so vulnerable grew so deep and strong and i didnt realise that i could love him anymore,looked husband even though love love heart feelings felt today stood vulnerable grew deep strong didnt realise could love anymore,look husband even though love love heart feeling felt today stand vulnerable grow deep strong didnt realise could love anymore
i remember feeling impatient with the endless and convoluted fairy tale that was told throughout the book,3,anger,i remember feeling impatient with the endless and convoluted fairy tale that was told throughout the book,remember feeling impatient endless convoluted fairy tale told throughout book,remember feeling impatient endless convolute fairy tale tell throughout book
i feel liked these days by both tom and myself,2,love,i feel liked these days by both tom and myself,feel liked days tom,feel like day tom
i will admit that i do feel a little envious when i hear of young writers who do so well,3,anger,i will admit that i do feel a little envious when i hear of young writers who do so well,admit feel little envious hear young writers well,admit feel little envious hear young writer well
i had a feeling that was going to happen once i accepted the job offer because life likes to throw you lots of curveballs,2,love,i had a feeling that was going to happen once i accepted the job offer because life likes to throw you lots of curveballs,feeling going happen accepted job offer life likes throw lots curveballs,feeling going happen accept job offer life like throw lot curveballs
i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior,3,anger,i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior,feel like need tattoo peggy mara quote onto arm see next time feel disgusted disdainful disappointed children behavior,feel like need tattoo peggy mara quote onto arm see next time feel disgust disdainful disappoint child behavior
i wonder why i feel surprised that things are different than i expected,5,surprise,i wonder why i feel surprised that things are different than i expected,wonder feel surprised things different expected,wonder feel surprise thing different expect
i remembered seeing these pieces and feeling so impressed by them but seeing them again i was surprised i was blinded by my memories,5,surprise,i remembered seeing these pieces and feeling so impressed by them but seeing them again i was surprised i was blinded by my memories,remembered seeing pieces feeling impressed seeing surprised blinded memories,remember seeing piece feeling impress seeing surprise blind memory
i don t i risk feeling vulnerable the feeling that everyone is staring at me and examining every little dimple in my thigh and sag in my arm,4,fear,i don t i risk feeling vulnerable the feeling that everyone is staring at me and examining every little dimple in my thigh and sag in my arm,risk feeling vulnerable feeling everyone staring examining every little dimple thigh sag arm,risk feeling vulnerable feeling everyone star examine every little dimple thigh sag arm
i know that feeling myself the strange sense of serendipity where minds collide between pages,4,fear,i know that feeling myself the strange sense of serendipity where minds collide between pages,know feeling strange sense serendipity minds collide pages,know feeling strange sense serendipity mind collide page
im so stoned on endorphin that all i can feel is my leg muscles seizing into petrified meat,4,fear,im so stoned on endorphin that all i can feel is my leg muscles seizing into petrified meat,im stoned endorphin feel leg muscles seizing petrified meat,im stone endorphin feel leg muscle seizing petrify meat
i remember feeling frantic at this point,4,fear,i remember feeling frantic at this point,remember feeling frantic point,remember feeling frantic point
i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,4,fear,i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,drove away today feeling overwhelmed news heard trillion times news heart knows already,drove away today feeling overwhelm news hear trillion time news heart know already
i love the feeling of the cold nipping at my nose while im in warm clothes,3,anger,i love the feeling of the cold nipping at my nose while im in warm clothes,love feeling cold nipping nose im warm clothes,love feeling cold nip nose im warm clothes
i hoped he didn t feel the shiver that ran through me but maybe he did i was startled when he pulled away from me,4,fear,i hoped he didn t feel the shiver that ran through me but maybe he did i was startled when he pulled away from me,hoped feel shiver ran maybe startled pulled away,hop feel shiver run maybe startle pull away
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,3,anger,i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,drawn totally solid neutral bags black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessories,draw totally solid neutral bag black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessory
i feel that its very romantic and to add to my visit i have the ipod loaded up with s dark synthwave amp early s college radio alternative the cure neds atomic dustbin the candy skins posies pixies blur james springhouse morrissey and so on,2,love,i feel that its very romantic and to add to my visit i have the ipod loaded up with s dark synthwave amp early s college radio alternative the cure neds atomic dustbin the candy skins posies pixies blur james springhouse morrissey and so on,feel romantic add visit ipod loaded dark synthwave amp early college radio alternative cure neds atomic dustbin candy skins posies pixies blur james springhouse morrissey,feel romantic add visit ipod load dark synthwave amp early college radio alternative cure neds atomic dustbin candy skin posy pixy blur james springhouse morrissey
i feel so violent just want to break some glass,3,anger,i feel so violent just want to break some glass,feel violent want break glass,feel violent want break glass
i just make assumptions based on what i see think feel i ve wondered this before with strange things,4,fear,i just make assumptions based on what i see think feel i ve wondered this before with strange things,make assumptions based see think feel wondered strange things,make assumption base see think feel wonder strange thing
i was feeling very nostalgic and very grateful,2,love,i was feeling very nostalgic and very grateful,feeling nostalgic grateful,feeling nostalgic grateful
i feel helpless as her mother i should be able to take the pain away as a small child i could do this but she is a young adult now the same age i was when i had her and it hurts to see her in pain,4,fear,i feel helpless as her mother i should be able to take the pain away as a small child i could do this but she is a young adult now the same age i was when i had her and it hurts to see her in pain,feel helpless mother able take pain away small child could young adult age hurts see pain,feel helpless mother able take pain away small child could young adult age hurt see pain
i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,3,anger,i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,drive home feel like petty thief stolen exposures crudely stuck camera ancients,drive home feel like petty thief steal exposure crudely stick camera ancient
i refuse to let myself feel bitter about the small sacrifices we have to make,3,anger,i refuse to let myself feel bitter about the small sacrifices we have to make,refuse let feel bitter small sacrifices make,refuse let feel bitter small sacrifice make
i feel uptight is it any wonder i dont know whats right,4,fear,i feel uptight is it any wonder i dont know whats right,feel uptight wonder dont know whats right,feel uptight wonder dont know whats right
i like her too much to feel as if im being obnoxious and getting involved into somethign that has nothing to do with me,3,anger,i like her too much to feel as if im being obnoxious and getting involved into somethign that has nothing to do with me,like much feel im obnoxious getting involved somethign nothing,like much feel im obnoxious getting involve somethign nothing
i feel like the fans see the girls as wimpy and not as good as the guys,4,fear,i feel like the fans see the girls as wimpy and not as good as the guys,feel like fans see girls wimpy good guys,feel like fan see girl wimpy good guy
i will ever feel i admired virtually everything about you,2,love,i will ever feel i admired virtually everything about you,ever feel admired virtually everything,ever feel admire virtually everything
i was back home but feeling restless,4,fear,i was back home but feeling restless,back home feeling restless,back home feeling restless
i hit the ground i feel daddy let go completely and i get terrified,4,fear,i hit the ground i feel daddy let go completely and i get terrified,hit ground feel daddy let go completely get terrified,hit ground feel daddy let go completely get terrify
i feel compassionate toward myself and my bodys new limitations which i need to become accustomed to as time takes me further into middle age and aging,2,love,i feel compassionate toward myself and my bodys new limitations which i need to become accustomed to as time takes me further into middle age and aging,feel compassionate toward bodys new limitations need become accustomed time takes middle age aging,feel compassionate toward body new limitation need become accustom time take middle age aging
i only will uploading photos which i feel so sweet to share with all of you lovers,2,love,i only will uploading photos which i feel so sweet to share with all of you lovers,uploading photos feel sweet share lovers,upload photo feel sweet share lover
i noticed earlier not involved in the group s turn to speak in front of the class and you could feel how nervous he was,4,fear,i noticed earlier not involved in the group s turn to speak in front of the class and you could feel how nervous he was,noticed earlier involved group turn speak front class could feel nervous,notice early involve group turn speak front class could feel nervous
i feel fucked up on the inside,3,anger,i feel fucked up on the inside,feel fucked inside,feel fuck inside
i just feel sooooooooooo fucked up at this moment,3,anger,i just feel sooooooooooo fucked up at this moment,feel sooooooooooo fucked moment,feel sooooooooooo fuck moment
i feel annoyed img class aligncenter size full wp image src http mrdanbaird,3,anger,i feel annoyed img class aligncenter size full wp image src mrdanbaird,feel annoyed img class aligncenter size full wp image src mrdanbaird,feel annoy img class aligncenter size full wp image src mrdanbaird
im feeling intimidated by my own achievements,4,fear,im feeling intimidated by my own achievements,im feeling intimidated achievements,im feeling intimidate achievement
i had hoped to not feel the weakness to not be bothered by every song every joke i hear,3,anger,i had hoped to not feel the weakness to not be bothered by every song every joke i hear,hoped feel weakness bothered every song every joke hear,hop feel weakness bother every song every joke hear
i feel yet you are so heartless and go for the men that will break your heart,3,anger,i feel yet you are so heartless and go for the men that will break your heart,feel yet heartless go men break heart,feel yet heartless go men break heart
i thought i wont be affected by how youre thinking feeling but the petty side of you digust me,3,anger,i thought i wont be affected by how youre thinking feeling but the petty side of you digust me,thought wont affected youre thinking feeling petty side digust,thought wont affect youre thinking feeling petty side digust
i am feeling like a delicate wee flower and have given myself permission to lay around drinking tea and eating cream buns and reveling in my passion for poetry,2,love,i am feeling like a delicate wee flower and have given myself permission to lay around drinking tea and eating cream buns and reveling in my passion for poetry,feeling like delicate wee flower given permission lay around drinking tea eating cream buns reveling passion poetry,feeling like delicate wee flower given permission lay around drinking tea eating cream bun revel passion poetry
im also feeling pretty paranoid a lot and no i dont take drugs,4,fear,im also feeling pretty paranoid a lot and no i dont take drugs,im also feeling pretty paranoid lot dont take drugs,im also feeling pretty paranoid lot dont take drug
i just feel curious of what my mission is to be,5,surprise,i just feel curious of what my mission is to be,feel curious mission,feel curious mission
i was expecting to say this is a very bittersweet feeling but all im feeling is bitter,3,anger,i was expecting to say this is a very bittersweet feeling but all im feeling is bitter,expecting say bittersweet feeling im feeling bitter,expect say bittersweet feeling im feeling bitter
i feel fucked tape last year make sure you get this,3,anger,i feel fucked tape last year make sure you get this,feel fucked tape last year make sure get,feel fuck tape last year make sure get
i feel like i would have liked the ending better,2,love,i feel like i would have liked the ending better,feel like would liked ending better,feel like would like ending better
